lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
213,1,102.85,10,5,4,5,2,0,0,0
0,0,141.0,5,24,4,1,0,0,0,1
28,0,110.0,9,1,4,1,0,3,0,1
79,1,138.56,7,3,4,8,4,0,3,0
104,0,76.5,8,18,4,3,0,0,0,0
123,2,96.9,7,31,3,5,3,0,0,1
0,1,0.0,3,30,1,1,0,1,5,1
146,1,94.5,7,13,4,3,0,3,0,1
77,3,100.84,4,10,4,3,2,0,0,1
6,2,100.87,5,23,4,1,1,0,0,1
97,0,80.75,5,29,3,3,2,0,0,1
116,0,81.67,2,28,3,1,2,0,0,1
142,1,136.85,7,5,4,5,0,0,3,1
160,0,94.5,7,14,4,3,0,3,0,0
65,1,156.61,12,26,4,3,1,0,5,1
1,1,105.0,8,11,4,4,0,0,0,1
86,1,99.3,4,6,4,3,0,0,3,1
14,0,200.0,9,26,4,1,2,3,0,1
18,2,111.75,10,2,4,2,2,0,0,1
169,1,137.7,8,12,4,2,1,0,3,0
178,2,90.9,10,26,4,4,0,0,0,1
0,1,65.0,2,22,2,1,1,0,0,1
3,0,0.0,11,16,1,1,1,0,0,1
95,1,103.29,5,6,3,2,0,0,3,0
11,1,113.34,9,15,4,3,1,0,3,1
0,0,65.0,11,29,2,1,0,0,0,1
13,0,114.55,2,29,4,3,1,1,0,1
0,0,95.0,5,9,2,2,1,0,0,1
76,0,145.8,6,16,4,3,2,0,3,0
34,0,65.0,9,15,2,1,0,0,0,0
88,0,80.75,5,2,3,2,1,0,0,1
0,0,75.0,12,15,2,1,0,0,0,1
31,3,84.03,1,30,3,5,2,0,3,1
15,1,116.31,10,4,4,2,0,0,0,1
1,1,0.0,7,30,1,1,0,0,0,1
79,2,52.85,11,18,4,4,0,0,0,1
103,0,63.58,3,24,3,3,0,0,0,1
10,0,95.0,9,11,3,1,2,0,0,1
31,1,152.1,8,3,4,2,0,0,0,0
117,1,85.0,12,13,4,5,0,0,0,0
4,1,160.0,10,17,4,4,1,0,0,1
34,0,100.0,10,26,3,3,0,0,0,1
17,3,141.0,6,13,4,3,1,0,3,1
21,0,75.0,10,12,3,2,1,0,3,1
163,0,94.5,7,22,4,2,0,3,0,0
180,0,88.77,8,27,4,1,1,0,1,0
44,0,90.0,11,2,3,4,0,0,0,1
1,0,152.0,9,23,4,1,0,3,0,1
148,1,108.16,5,29,4,2,2,0,3,1
7,0,67.0,11,9,2,1,0,0,0,1
6,0,65.0,10,10,3,1,2,0,0,1
55,0,79.0,7,7,2,1,0,0,0,1
3,1,72.07,2,7,4,2,2,0,0,1
58,2,138.6,12,24,4,1,0,0,3,1
40,0,118.0,12,31,3,3,0,0,0,1
12,0,91.63,12,26,4,3,1,0,3,1
15,0,111.0,5,29,4,0,2,0,0,0
238,0,86.75,8,5,4,2,0,0,1,0
2,1,100.47,3,27,3,1,2,0,0,1
50,0,242.9,8,19,4,2,1,0,5,0
4,0,64.0,1,25,2,0,1,0,0,1
4,1,65.0,8,7,2,1,2,0,0,1
23,0,109.0,1,2,3,1,2,1,0,1
82,1,90.95,10,10,3,3,1,0,3,1
14,0,79.0,12,2,2,1,0,0,0,1
0,1,101.0,4,15,4,2,1,0,0,1
16,0,164.0,9,26,4,0,1,0,3,0
79,1,116.1,5,24,4,2,0,3,0,1
28,0,81.0,2,4,4,1,0,0,0,0
88,0,87.3,7,5,3,4,0,0,3,1
110,2,119.0,12,16,4,3,2,0,3,0
141,0,80.0,9,20,3,0,1,0,0,1
8,0,112.5,4,7,4,3,1,0,0,1
11,1,120.12,8,20,4,2,2,0,3,1
90,2,144.13,7,7,3,5,2,0,3,1
274,2,107.0,8,9,4,3,0,0,0,0
18,0,129.0,4,13,2,1,0,0,0,1
105,0,123.25,7,4,4,4,1,0,0,0
3,1,105.5,11,5,4,3,0,0,1,1
144,1,114.3,5,6,4,2,0,0,3,0
45,1,93.6,12,25,4,1,2,0,0,1
125,0,126.51,7,31,4,5,2,0,3,1
41,1,88.0,12,20,2,1,0,0,0,1
74,1,99.45,3,21,4,3,1,0,3,1
0,0,140.0,7,14,2,1,0,0,4,1
31,2,80.0,7,22,3,2,1,0,0,1
0,1,0.0,12,16,1,1,0,0,6,1
15,0,96.9,12,5,4,3,1,0,3,1
48,0,159.3,5,6,4,2,1,0,3,1
117,0,75.0,2,29,3,1,1,0,0,1
14,0,104.17,8,17,4,4,1,0,0,1
0,1,126.0,6,22,4,1,0,0,3,1
184,1,90.95,8,27,4,2,2,0,0,1
13,1,85.0,2,18,4,2,0,0,0,1
50,1,79.2,11,17,4,1,0,3,0,1
42,2,94.5,10,19,4,1,1,0,0,1
57,1,79.2,11,1,4,3,0,3,0,1
128,1,114.3,8,8,4,3,1,0,0,1
141,1,147.6,9,23,4,2,0,0,0,1
221,0,80.0,8,12,3,1,0,0,0,0
74,0,93.6,11,4,4,2,0,0,0,0
11,0,112.88,9,5,2,0,1,0,0,1
1,0,65.0,11,19,2,1,0,0,0,1
125,0,103.05,8,22,4,3,1,0,0,1
13,2,129.0,9,25,4,1,2,3,0,1
11,0,0.0,10,4,1,2,0,1,0,1
70,2,120.15,11,4,4,4,2,3,0,1
208,0,80.75,7,30,4,2,2,3,0,0
190,0,96.3,10,26,4,4,0,0,0,0
0,0,0.0,9,18,1,0,2,0,0,1
9,1,128.5,9,11,4,2,0,0,0,1
49,0,119.85,5,7,4,5,2,0,0,0
26,3,88.4,12,6,4,5,2,0,0,1
42,1,168.3,7,24,4,0,2,0,3,1
67,1,29.0,9,6,1,2,2,1,3,1
36,2,81.9,3,10,4,1,0,0,0,1
0,0,81.0,1,3,4,0,1,0,0,1
52,3,152.1,8,18,4,3,1,0,0,1
47,0,108.0,10,11,4,3,0,3,0,1
15,0,88.4,12,20,4,5,2,0,0,1
6,1,126.0,5,9,4,1,1,0,3,1
15,1,75.0,12,10,2,2,0,0,0,1
4,0,110.0,10,29,0,1,0,0,3,0
102,1,121.5,7,26,4,2,0,0,0,0
4,2,112.2,12,27,4,4,0,0,3,1
57,0,119.85,5,13,4,3,2,0,0,0
4,1,41.0,2,1,2,0,1,0,0,1
1,2,77.0,10,3,2,1,1,0,4,1
93,1,126.9,6,20,4,1,1,0,0,1
149,1,80.75,6,26,4,2,2,3,0,1
3,0,86.0,2,4,4,1,0,0,0,1
22,1,169.0,8,2,4,3,0,0,0,1
99,3,127.71,12,26,4,3,1,0,3,1
16,2,105.4,12,21,4,1,0,0,0,1
1,2,140.0,12,31,4,1,0,3,0,1
166,0,81.25,7,30,3,1,2,0,0,1
42,1,182.7,3,18,4,2,1,0,3,0
98,0,141.75,7,11,4,3,1,1,0,1
25,1,154.0,10,17,4,1,1,3,0,1
21,1,140.0,8,30,4,1,0,0,0,1
13,1,95.0,4,18,4,0,1,0,0,1
0,0,66.0,1,4,2,2,1,0,0,1
56,1,74.8,11,12,4,3,2,3,0,1
65,2,113.55,10,26,4,2,0,0,0,1
0,0,89.0,3,1,4,1,0,3,0,1
8,0,97.02,10,20,4,4,0,0,0,1
54,2,93.6,12,5,4,1,1,0,0,1
50,2,80.1,3,29,4,1,0,3,0,1
134,0,177.3,7,24,4,0,2,0,5,0
1,0,188.0,9,22,4,1,0,0,4,1
28,1,149.0,9,18,4,0,2,0,0,1
16,1,113.67,12,4,4,2,1,0,3,1
46,2,129.6,11,3,4,3,0,0,3,1
30,0,82.08,10,17,4,1,1,3,0,1
191,1,96.3,10,20,4,2,0,0,0,0
135,1,90.0,6,28,4,2,0,3,0,1
13,0,119.0,9,7,4,1,0,3,0,0
38,1,73.2,2,27,4,1,1,0,0,1
58,0,79.2,12,15,4,3,0,3,0,0
20,0,109.65,6,12,4,0,1,0,0,1
26,2,169.0,8,7,4,2,2,0,0,1
5,0,146.0,3,26,4,5,2,0,3,0
129,2,139.99,7,22,4,2,0,0,5,1
67,1,104.0,11,18,4,2,0,0,0,1
4,0,75.0,12,11,2,0,2,0,0,1
18,0,79.0,2,12,4,2,1,3,0,0
13,1,141.0,6,19,4,1,2,0,0,1
74,2,88.2,12,2,4,2,1,3,0,1
116,1,90.0,11,17,4,3,0,0,0,1
3,1,135.8,5,23,4,0,1,3,0,1
38,0,71.1,3,14,4,3,1,3,0,1
112,0,120.0,6,2,3,3,0,0,0,0
13,1,135.0,10,28,4,2,0,0,0,1
39,0,127.39,5,13,4,2,1,0,1,1
145,1,0.0,7,5,4,0,0,0,0,1
29,2,101.52,3,5,4,3,2,0,3,1
238,2,95.63,9,3,4,2,2,0,0,1
1,0,135.0,5,11,3,1,0,0,0,1
5,1,136.0,4,21,4,3,0,0,3,1
35,0,53.72,3,11,4,2,0,3,0,1
53,0,108.0,10,11,4,1,0,3,0,0
77,0,90.95,4,13,4,4,0,0,0,1
118,1,104.4,10,29,4,1,2,0,3,1
35,1,88.4,11,16,4,4,0,0,0,1
22,0,0.0,12,16,4,0,0,3,0,1
2,1,153.62,9,22,4,1,0,0,3,1
11,0,121.0,5,30,2,3,1,0,0,0
6,1,114.0,9,21,4,2,1,3,0,1
71,2,77.0,11,12,4,4,2,3,0,1
159,0,70.5,12,29,3,4,0,0,0,1
1,0,65.0,9,27,2,1,0,0,1,1
107,1,46.63,12,23,4,4,2,0,0,1
64,0,63.75,3,12,4,2,2,3,0,0
4,1,139.0,7,8,4,2,1,3,0,1
110,0,70.0,12,9,3,1,0,0,0,1
251,1,73.35,11,21,4,1,1,3,0,1
164,0,94.5,7,21,4,3,0,3,0,0
89,1,63.75,11,17,4,3,0,0,0,1
25,0,65.0,12,27,3,1,0,0,0,1
29,0,73.21,10,13,4,4,0,0,0,1
1,0,129.0,5,13,4,1,0,3,0,1
155,0,177.35,5,22,4,5,3,0,5,0
203,1,122.76,8,13,4,5,2,0,0,0
232,2,91.8,12,1,4,3,0,0,3,1
1,0,81.0,2,20,4,1,0,3,0,1
188,1,105.3,8,3,4,3,0,0,0,0
19,1,165.0,9,5,4,1,2,0,5,1
0,0,138.0,8,13,4,1,0,0,0,1
9,0,95.0,4,7,4,2,0,0,0,0
28,2,70.0,3,18,3,2,0,0,0,1
26,0,78.2,11,12,3,2,2,0,3,0
336,0,39.0,9,21,3,4,1,0,0,1
1,0,85.0,9,29,2,1,0,0,0,1
10,2,169.0,6,14,4,5,0,0,3,1
66,0,126.0,3,5,4,1,1,1,0,0
7,1,150.0,8,16,4,2,0,0,0,1
28,0,65.0,12,18,2,1,0,0,0,1
95,2,119.85,6,9,4,4,2,0,0,1
44,0,85.0,4,23,3,1,2,0,0,1
169,0,62.73,8,22,4,3,1,3,0,0
131,0,105.3,8,2,4,4,0,0,0,0
19,0,156.5,4,14,4,3,1,0,3,0
76,1,79.2,12,3,4,1,2,3,0,1
6,0,81.0,2,5,4,2,0,3,0,1
16,0,75.0,11,16,3,3,0,0,0,1
42,2,147.9,8,27,4,4,2,0,3,1
16,0,91.8,12,29,4,3,1,3,0,1
1,1,89.0,4,16,4,1,0,3,0,1
282,1,109.23,12,25,4,5,3,0,3,0
282,0,115.6,12,29,4,3,1,1,0,1
57,0,105.3,4,11,4,2,1,0,0,0
81,0,135.0,10,21,4,2,1,0,0,0
9,0,80.0,2,27,4,1,0,0,0,1
35,1,108.0,11,2,4,3,0,0,0,1
10,1,83.93,3,14,4,3,1,0,0,1
115,0,114.3,7,8,4,2,0,0,0,0
31,1,140.4,5,20,4,1,0,0,3,1
64,1,190.0,9,25,4,2,0,0,0,1
122,1,107.0,3,27,3,1,2,1,0,0
3,1,67.0,6,20,2,1,1,0,0,1
52,2,159.3,5,28,4,1,1,0,3,1
113,1,92.65,6,27,4,4,1,0,0,1
27,0,111.2,9,26,4,1,1,0,0,0
20,1,88.0,11,29,2,1,0,0,0,1
2,1,97.0,6,23,4,1,0,3,0,1
101,0,126.9,5,19,4,1,0,0,0,1
157,2,121.5,7,14,4,2,0,0,0,0
21,0,79.0,2,12,4,2,0,3,0,1
94,0,85.0,9,22,3,3,0,0,0,0
2,2,147.0,3,27,4,2,2,0,3,1
19,2,129.0,9,25,4,0,1,3,0,1
174,0,95.67,9,22,3,3,0,0,0,1
172,2,140.7,7,22,4,2,1,0,3,0
4,0,80.0,2,19,2,1,0,0,0,0
88,1,60.0,3,4,3,2,1,0,0,1
23,0,136.0,3,26,4,2,2,0,0,0
12,2,87.78,7,19,4,2,0,3,0,1
13,1,115.0,8,1,4,0,1,0,0,1
149,0,80.75,8,29,4,2,2,0,0,0
8,1,84.0,4,1,2,2,0,0,0,1
5,2,174.0,8,13,4,1,1,0,0,1
127,0,91.29,4,15,4,3,2,0,3,1
9,0,75.0,11,18,2,2,0,0,0,1
22,2,288.0,8,19,4,2,0,1,5,1
17,0,75.0,7,17,3,1,2,3,0,1
265,2,78.3,11,20,4,1,2,0,0,0
97,1,116.1,5,19,4,1,0,3,0,1
0,0,106.4,6,27,3,0,1,0,0,1
9,3,99.0,8,20,4,2,0,0,0,1
24,0,122.0,9,1,4,3,0,0,0,1
7,0,0.0,5,31,1,1,0,0,0,1
3,2,137.29,9,10,4,5,2,0,0,1
25,0,85.0,7,23,3,3,2,0,0,1
13,1,111.85,6,5,4,0,1,0,0,1
134,2,130.5,8,4,4,2,0,0,0,1
82,1,107.0,11,13,4,2,2,0,0,1
115,2,131.4,8,23,4,5,0,0,3,1
90,1,72.25,12,4,4,2,2,0,0,1
150,1,95.82,5,31,4,3,0,0,1,1
145,0,36.25,8,29,3,1,2,1,0,1
113,1,108.0,10,13,4,1,0,3,0,0
36,1,67.5,2,13,4,1,1,3,0,1
0,0,119.35,10,7,4,1,0,0,3,1
12,2,90.0,8,30,4,0,1,0,0,1
160,2,113.4,10,30,4,0,2,0,3,0
163,1,73.37,4,9,4,5,2,0,0,1
12,1,140.0,10,21,4,2,0,3,0,1
39,1,65.0,12,27,3,1,0,0,0,1
18,1,78.5,1,30,4,1,0,3,0,1
18,2,210.0,11,7,4,2,1,0,3,1
27,1,68.07,11,23,4,4,0,0,0,1
17,0,77.25,1,25,4,4,1,0,1,1
89,1,74.8,12,22,4,3,2,3,0,1
64,4,105.6,10,31,4,2,1,0,3,1
108,0,92.4,5,4,4,3,0,0,0,1
126,1,80.75,9,12,3,2,1,0,0,0
57,1,141.3,10,29,4,1,2,1,0,0
218,1,96.3,8,6,4,1,0,0,0,0
136,0,90.9,8,26,4,2,0,0,0,1
35,2,118.0,10,27,4,3,0,3,0,1
11,0,90.0,6,14,2,3,0,0,3,1
17,2,130.0,11,3,4,2,0,0,3,1
127,1,89.25,5,9,4,3,1,3,0,0
212,1,78.0,5,20,3,3,2,0,0,1
62,1,58.94,3,4,4,2,2,0,0,1
7,0,144.0,5,5,3,3,0,0,0,1
16,0,77.25,1,25,4,4,1,0,1,1
38,0,118.8,4,21,4,3,1,0,3,0
20,1,156.0,5,21,4,1,0,0,3,1
0,0,123.0,10,20,2,3,0,0,0,1
35,1,97.0,12,26,4,1,0,0,3,1
152,0,90.9,8,26,4,2,1,0,0,0
56,1,207.9,8,13,4,1,2,0,5,1
12,1,156.0,8,22,4,2,1,0,3,1
230,0,96.3,10,19,4,3,0,0,0,0
89,1,168.3,9,20,4,3,0,0,3,1
49,0,75.0,11,2,3,4,0,0,0,1
70,0,75.0,11,25,3,2,0,0,0,1
93,1,60.0,3,4,3,2,0,0,0,1
7,1,183.0,4,21,4,3,0,1,3,1
67,0,80.75,5,30,3,3,1,0,0,1
83,1,132.6,5,1,4,3,2,0,3,1
1,0,65.0,9,30,2,1,0,0,0,1
18,0,60.0,12,27,3,1,0,0,0,1
191,1,80.75,5,12,3,2,0,0,0,1
232,0,110.7,11,24,4,3,0,0,3,0
122,1,121.5,5,12,4,3,0,0,3,1
3,0,54.0,1,3,4,4,2,3,0,1
208,2,88.77,10,23,4,2,2,0,1,1
308,1,78.3,11,23,4,3,0,0,0,0
23,1,95.0,9,5,4,1,2,0,0,1
3,0,65.0,5,30,2,2,1,0,0,1
1,1,138.0,8,20,4,1,0,3,0,1
3,0,120.0,9,19,2,1,2,0,0,1
3,1,120.0,10,16,4,0,1,3,0,1
6,0,75.0,8,21,3,0,1,3,0,1
117,0,72.25,7,12,3,3,0,0,0,1
2,0,67.0,12,16,2,1,0,0,0,1
40,1,75.0,11,2,3,4,0,0,0,1
14,1,122.96,11,7,4,5,1,0,3,1
91,1,109.65,5,22,4,2,2,3,0,1
3,0,195.0,9,26,4,0,1,3,4,1
50,1,158.4,10,18,4,1,0,0,3,1
39,1,75.8,2,19,4,2,0,3,0,1
198,0,137.7,8,22,4,2,1,0,3,0
71,1,119.85,5,30,4,3,1,0,0,1
85,1,99.9,7,25,4,1,1,0,0,1
59,1,119.0,12,4,4,2,2,0,3,1
6,2,99.0,5,8,4,0,2,3,0,1
69,2,99.45,4,13,4,4,0,0,0,1
205,0,90.95,7,22,4,3,2,0,0,0
0,1,112.0,2,23,4,4,0,0,0,1
1,0,106.4,7,6,3,1,0,3,0,1
18,0,79.0,3,25,3,2,0,3,0,1
4,0,160.0,9,25,4,0,2,3,0,1
63,0,144.1,8,9,4,3,0,0,0,1
0,0,99.14,8,29,4,5,2,3,0,1
81,0,75.0,12,16,3,2,1,0,0,1
6,1,91.0,3,8,4,3,0,3,0,1
71,0,98.0,5,10,3,3,0,1,0,1
18,0,98.6,5,29,4,2,2,0,0,0
6,1,0.0,6,20,1,0,1,0,3,1
18,2,167.74,4,20,4,3,0,0,5,1
7,0,89.0,4,11,4,0,1,3,0,1
3,0,65.0,9,26,2,7,3,0,0,1
7,0,84.0,3,11,2,2,0,0,0,1
29,0,76.5,9,12,3,1,0,0,0,1
2,1,198.28,10,19,4,3,0,0,5,1
25,1,68.0,11,10,3,5,2,0,0,1
117,1,116.05,7,8,4,3,2,0,0,1
40,0,70.0,10,5,3,1,1,0,0,1
132,0,114.75,7,14,4,4,2,0,0,0
9,0,221.0,5,11,4,4,0,0,5,0
4,0,65.0,8,18,2,3,0,0,0,1
28,0,77.0,10,19,3,2,1,0,0,1
234,1,76.84,12,12,4,4,1,0,0,1
150,2,41.43,3,19,3,5,2,0,0,1
25,0,221.0,5,19,4,1,0,0,5,0
34,2,77.6,2,22,3,2,1,0,0,1
13,0,104.0,4,26,4,2,0,3,0,1
191,1,80.75,9,7,3,5,2,1,0,1
21,0,91.0,3,7,4,0,1,0,0,0
198,3,116.1,9,15,4,1,0,3,0,1
111,0,60.0,3,23,3,3,0,0,0,1
15,1,129.0,8,20,4,2,2,3,0,0
69,0,92.43,12,29,4,5,2,0,1,1
12,1,89.59,12,10,4,3,2,0,0,1
49,0,116.1,5,6,4,2,0,3,0,0
226,0,102.76,10,25,3,3,0,1,0,0
50,0,193.5,9,2,4,2,1,1,3,1
263,0,100.3,9,29,4,4,2,0,0,0
37,0,120.0,12,28,4,3,0,3,0,0
183,1,112.0,8,3,3,4,1,0,0,0
1,0,59.75,1,8,4,3,2,0,3,1
90,0,90.95,4,15,4,5,2,0,0,0
44,0,112.0,11,5,3,2,2,0,0,1
22,1,139.0,8,21,4,0,2,3,0,0
267,1,105.83,10,24,4,3,1,0,3,0
57,1,88.4,12,2,4,2,2,0,0,1
107,0,116.1,6,14,4,2,0,3,1,0
68,1,112.2,4,21,4,3,0,0,3,1
57,1,78.69,10,10,4,1,2,3,0,1
12,1,95.0,11,18,4,2,0,3,0,1
4,0,80.0,8,29,3,1,1,0,0,1
0,2,155.0,10,19,4,0,1,0,3,1
174,1,112.0,7,25,4,2,1,0,0,0
16,0,135.0,9,7,4,3,1,0,0,1
296,1,104.4,7,24,4,5,2,0,3,0
3,0,90.67,6,10,3,2,1,0,0,1
198,2,63.75,12,8,4,3,2,3,0,1
64,2,115.03,4,23,4,4,2,0,0,1
59,0,105.3,4,24,4,1,2,0,0,0
122,2,116.1,6,16,4,3,0,3,0,1
173,2,100.8,3,31,4,3,0,0,0,0
5,0,80.0,2,24,2,4,0,0,0,1
5,0,89.0,4,19,4,1,0,3,0,1
61,0,140.4,6,17,4,2,0,0,3,0
36,0,140.4,4,30,4,2,2,0,3,0
100,1,80.75,4,17,3,2,2,0,0,1
5,0,112.0,10,18,4,3,0,3,0,1
85,0,129.73,9,29,2,2,0,0,0,1
9,1,87.0,2,14,3,2,2,0,0,1
163,2,161.1,9,5,4,2,1,1,0,0
46,0,75.0,11,11,3,2,1,0,0,1
26,1,104.0,11,19,4,1,1,0,0,0
130,0,79.2,11,12,4,1,1,3,0,0
205,0,90.95,7,24,4,2,2,0,0,0
94,1,72.25,12,3,4,2,0,0,0,0
306,3,95.4,8,14,4,1,2,0,0,1
45,0,76.3,2,29,4,2,1,0,0,1
84,0,65.0,9,7,2,1,0,0,0,1
6,1,0.0,12,10,4,2,0,1,0,1
195,1,99.0,8,7,4,1,2,3,0,0
7,1,0.0,5,31,1,1,0,0,0,1
12,3,164.0,8,24,4,2,0,0,3,1
82,1,84.15,3,27,4,3,2,0,0,1
75,0,90.95,4,11,4,4,1,0,0,0
83,1,70.03,3,24,4,3,1,0,0,1
27,0,135.87,5,20,4,4,2,0,3,0
12,1,58.0,12,19,3,2,2,0,0,1
196,0,85.5,8,30,4,3,0,3,0,0
22,0,171.0,8,21,4,3,2,0,0,0
19,2,124.0,9,19,4,1,0,0,0,1
30,0,67.0,11,13,2,0,1,0,0,1
103,0,126.9,6,11,4,1,1,0,0,0
6,0,77.0,9,24,3,1,0,0,0,1
73,0,68.0,7,7,4,4,0,0,0,0
116,0,61.0,2,28,3,2,2,0,0,0
42,1,124.79,3,17,4,5,2,0,3,0
54,1,88.0,11,4,4,2,0,3,0,1
10,1,152.0,9,17,4,1,0,0,0,1
192,1,90.0,12,18,4,1,2,0,0,0
136,0,131.75,7,13,4,5,2,1,0,1
93,2,105.3,3,25,4,2,1,0,3,0
12,0,60.0,8,5,2,3,0,0,0,1
1,0,75.0,9,22,3,3,0,0,3,1
255,0,94.35,9,5,4,3,1,0,0,0
27,1,54.71,12,4,4,3,2,3,0,1
269,0,80.0,12,29,3,3,2,0,0,1
140,1,114.33,7,18,4,3,1,0,3,1
11,1,90.95,11,6,4,2,2,0,0,1
141,0,72.25,8,25,3,3,0,0,0,1
161,1,123.46,6,21,4,4,0,0,3,0
0,1,107.0,11,6,4,1,0,0,0,1
174,0,85.5,7,4,4,2,1,3,0,0
26,1,65.0,11,23,3,3,1,0,0,1
31,0,66.29,12,3,4,11,5,3,0,0
166,2,73.6,4,21,4,3,0,0,1,1
32,1,214.21,10,29,4,1,2,0,6,1
100,1,150.3,8,26,4,2,2,0,3,1
151,0,59.5,3,20,3,3,2,0,0,1
164,0,99.45,7,27,4,5,2,0,0,0
78,0,90.9,4,8,4,1,0,0,0,0
46,0,79.2,12,25,4,1,2,3,0,1
40,0,64.15,12,26,4,3,2,0,0,1
7,0,78.3,1,16,4,1,2,0,0,1
13,2,101.0,12,6,4,0,2,0,0,1
42,2,168.3,5,12,4,2,0,0,3,1
4,0,147.0,7,19,2,3,0,0,4,1
149,0,72.25,7,10,4,4,2,0,0,0
7,0,182.0,6,28,4,5,1,0,3,1
56,3,177.3,6,12,4,1,2,0,3,1
21,0,107.0,10,10,3,2,1,0,3,1
2,0,95.0,4,7,0,1,0,0,0,1
41,1,116.1,5,9,4,4,1,3,0,0
22,0,79.2,11,25,4,2,1,0,0,1
92,0,102.68,9,26,3,3,1,0,0,1
67,0,106.25,7,10,3,3,2,0,0,1
49,2,115.2,12,5,4,1,2,0,0,1
193,0,120.0,6,20,4,2,1,0,0,0
25,1,148.0,6,2,4,2,0,0,3,1
286,1,117.0,9,16,3,2,0,1,0,0
111,1,76.5,7,6,4,2,1,0,0,0
238,0,140.4,10,6,4,3,0,0,3,0
103,1,61.5,3,3,3,3,0,0,0,1
5,1,89.0,3,21,4,1,1,3,0,1
0,1,98.0,8,8,4,1,0,0,0,1
38,1,80.2,6,20,3,3,1,0,0,1
5,2,65.0,7,18,2,1,1,0,0,1
119,1,81.0,2,10,4,3,0,0,1,0
73,1,113.7,10,24,4,2,1,0,3,0
62,1,76.0,4,3,3,3,2,0,0,1
55,1,118.33,4,6,4,3,0,0,0,0
50,0,181.8,8,30,4,3,0,0,5,1
69,0,105.3,4,27,4,2,0,0,0,0
63,0,159.3,6,8,4,3,0,0,3,0
33,1,85.5,9,14,4,1,1,0,0,1
22,1,48.5,11,15,4,5,0,3,0,1
3,1,157.27,10,15,4,1,0,0,3,1
28,0,89.0,4,17,4,0,2,3,0,0
208,2,88.77,10,23,4,2,2,0,1,1
1,1,128.0,5,31,4,2,0,3,0,1
119,0,102.6,12,24,4,1,1,0,3,0
74,2,109.0,9,18,3,2,0,1,0,1
8,0,54.4,12,16,4,2,0,3,0,1
69,2,119.8,12,31,4,2,0,0,0,1
56,1,125.1,8,6,4,1,1,3,0,1
51,1,64.45,10,27,4,1,0,3,0,1
132,0,106.2,11,1,4,5,0,0,0,0
42,0,106.2,3,5,3,1,2,0,0,0
25,4,155.67,9,16,4,2,1,0,0,1
49,2,98.87,6,8,4,3,0,0,3,1
147,0,90.95,4,11,4,5,1,3,0,0
19,2,155.0,9,16,4,1,0,0,5,1
11,2,186.0,5,2,4,1,1,0,3,1
1,0,75.0,8,28,3,1,2,3,0,1
12,0,58.0,12,16,3,2,0,0,0,1
184,0,101.05,10,4,4,3,0,0,1,0
5,2,149.0,8,26,4,2,0,0,0,1
141,2,105.3,7,17,4,1,2,0,0,1
8,0,89.0,12,19,3,2,2,1,0,1
49,0,87.3,3,7,4,2,1,0,3,0
230,2,83.78,5,12,4,3,1,0,0,1
90,1,76.5,8,23,4,3,2,0,0,1
34,1,72.76,10,7,4,3,0,0,0,1
0,0,105.5,9,2,4,2,0,3,3,1
13,0,96.0,2,3,2,4,0,0,4,1
140,2,109.2,6,4,4,1,2,3,0,1
19,2,74.8,11,24,4,3,1,3,0,1
114,0,191.0,7,17,4,5,4,1,3,0
119,1,76.5,7,20,4,0,1,0,0,0
6,3,111.67,10,16,4,1,2,3,0,1
6,1,166.0,7,11,4,1,1,0,3,1
3,0,142.33,6,14,4,3,0,0,0,1
69,1,139.57,10,16,4,3,2,0,5,1
32,0,85.0,11,20,3,2,0,0,0,1
278,0,89.25,11,28,4,3,1,0,0,0
0,1,0.0,9,21,1,4,1,0,3,1
7,0,48.4,1,18,3,4,1,0,0,1
39,0,67.5,2,13,4,1,0,3,0,1
2,1,195.0,9,22,4,1,0,0,0,1
55,0,109.35,5,30,4,2,1,0,0,0
15,1,117.0,10,31,4,1,2,0,3,1
218,2,63.75,12,9,4,3,2,3,0,0
164,0,167.45,8,21,4,2,2,0,5,0
45,0,99.0,8,30,4,2,0,3,0,0
158,2,114.3,7,8,4,2,0,0,0,0
6,1,137.0,12,31,4,2,0,0,3,1
60,2,88.4,12,8,4,3,1,0,0,1
128,0,114.3,8,8,4,2,1,0,0,0
63,1,73.8,11,3,4,3,0,3,0,1
377,0,90.0,10,14,3,2,0,1,0,1
11,2,95.0,9,11,4,1,0,0,0,1
186,1,106.25,8,26,4,2,2,0,0,0
6,0,162.33,9,18,4,1,2,0,0,0
285,0,81.81,10,16,4,3,2,0,1,0
8,2,101.0,6,14,4,1,0,0,0,1
19,1,165.0,11,10,4,2,0,0,3,1
32,1,88.0,12,16,4,2,0,3,0,1
5,0,0.0,8,24,1,1,0,0,0,1
7,0,112.2,10,5,3,1,1,1,0,1
41,1,107.41,10,5,4,2,0,0,3,1
40,1,207.9,8,12,4,2,0,0,5,0
4,1,111.2,9,22,3,3,0,0,0,1
12,0,100.0,10,12,2,3,1,0,0,1
21,0,117.0,4,13,4,2,0,3,0,0
6,0,132.0,7,2,4,1,1,3,0,0
8,0,58.41,12,3,4,3,1,0,3,1
12,0,104.0,12,4,4,0,2,0,0,1
